frame,effective_expert_kl_coef,expert_kl_loss,expert_action_mse,approx_kl,entropy,actor_grad_norm,effective_actor_lr,effective_critic_lr,TP_loss
7929856,0.4000000059604645,0.20400592684745789,0.009180266410112381,0.009456917643547058,-6.135659217834473,48.669158935546875,8.533363143214956e-05,0.0005000000237487257,0.0005309558473527431
7995392,0.4000000059604645,0.44105952978134155,0.019847678020596504,0.009714353829622269,-6.130955696105957,56.48070526123047,8.595622057328e-05,0.0005000000237487257,0.0004699588462244719
8060928,0.4000000059604645,0.42562735080718994,0.019153233617544174,0.01135389506816864,-6.127614974975586,45.319976806640625,8.657881699036807e-05,0.0005000000237487257,0.0004184725694358349
8126464,0.4000000059604645,0.17974606156349182,0.008088572882115841,0.006497547961771488,-6.123690128326416,52.528419494628906,8.720140613149852e-05,0.0005000000237487257,0.000278427847661078
8192000,0.4000000059604645,0.1809699535369873,0.008143647573888302,0.008692946285009384,-6.118819236755371,41.31028747558594,8.782400254858658e-05,0.0005000000237487257,0.0009481025044806302
8257536,0.4000000059604645,0.20903727412223816,0.009406678378582,0.02899882197380066,-6.1154584884643555,12.900094985961914,8.844659168971702e-05,0.0005000000237487257,0.0009127859375439584
8323072,0.4000000059604645,0.6472423076629639,0.02912590280175209,0.010305141098797321,-6.112505912780762,85.6776123046875,8.906918083084747e-05,0.0005000000237487257,0.00030803930712863803
8388608,0.4000000059604645,0.3056384325027466,0.013753728941082954,0.03877327963709831,-6.107297420501709,0.24386489391326904,8.969177724793553e-05,0.0005000000237487257,8.509782492183149e-05
8454144,0.4000000059604645,0.42613956332206726,0.01917628012597561,0.04116450995206833,-6.103202819824219,0.2249102145433426,9.031436638906598e-05,0.0005000000237487257,0.00016862079792190343
8519680,0.4000000059604645,0.26602575182914734,0.011971160769462585,0.010526233352720737,-6.098071575164795,70.65569305419922,9.093696280615404e-05,0.0005000000237487257,0.0006022473098710179
8585216,0.4000000059604645,0.18109183013439178,0.008149133063852787,0.007845865562558174,-6.094417572021484,61.837890625,9.155955194728449e-05,0.0005000000237487257,0.0007911019492894411
8650752,0.4000000059604645,0.24450720846652985,0.011002824641764164,0.0071122110821306705,-6.091949939727783,62.26373291015625,9.218214108841494e-05,0.0005000000237487257,0.0006115026189945638
8716288,0.4000000059604645,0.16965660452842712,0.0076345475390553474,0.029778189957141876,-6.087368011474609,23.887195587158203,9.2804737505503e-05,0.0005000000237487257,0.002732968656346202
8781824,0.4000000059604645,0.1516602635383606,0.006824711803346872,0.03663850203156471,-6.082236289978027,0.28964900970458984,9.342732664663345e-05,0.0005000000237487257,0.001163490116596222
8847360,0.4000000059604645,0.6240544319152832,0.028082450851798058,0.048472627997398376,-6.078141212463379,1.3080077171325684,9.404992306372151e-05,0.0005000000237487257,0.0003211037255823612
8912896,0.4000000059604645,0.40849435329437256,0.018382249400019646,0.023456301540136337,-6.074939727783203,27.663658142089844,9.467251220485196e-05,0.0005000000237487257,0.00013268107431940734
8978432,0.4000000059604645,0.318206250667572,0.0143192820250988,0.008002757094800472,-6.071548938751221,41.98798370361328,9.52951013459824e-05,0.0005000000237487257,0.00015209120465442538
9043968,0.4000000059604645,0.21753764152526855,0.009789194911718369,0.03580005466938019,-6.066331386566162,14.437271118164062,9.591769776307046e-05,0.0005000000237487257,0.0009639675845392048
9109504,0.4000000059604645,0.16944794356822968,0.007625157944858074,0.008128696121275425,-6.061216354370117,62.189430236816406,9.654028690420091e-05,0.0005000000237487257,0.0010051493300125003
9175040,0.4000000059604645,0.1711755394935608,0.007702899165451527,0.010432901792228222,-6.057951927185059,61.70884323120117,9.716288332128897e-05,0.0005000000237487257,0.0006686158594675362
9240576,0.4000000059604645,0.36853066086769104,0.0165838822722435,0.015705566853284836,-6.0524797439575195,40.1735725402832,9.778547246241942e-05,0.0005000000237487257,0.0008227777434512973
9306112,0.4000000059604645,0.5848276615142822,0.02631724812090397,0.011468440294265747,-6.04761266708374,44.511104583740234,9.840806160354987e-05,0.0005000000237487257,0.0003477420541457832
9371648,0.4000000059604645,0.41314437985420227,0.0185915008187294,0.087237648665905,-6.0442986488342285,0.17785222828388214,9.903065802063793e-05,0.0005000000237487257,0.00020184676395729184
9437184,0.4000000059604645,0.21596062183380127,0.009718228131532669,0.06276390701532364,-6.040106773376465,0.20486317574977875,9.965324716176838e-05,0.0005000000237487257,0.0009261150844395161
9502720,0.4000000059604645,0.20002338290214539,0.009001052938401699,0.08279391378164291,-6.035925388336182,0.21095390617847443,0.00010027584357885644,0.0005000000237487257,0.002108159940689802
9568256,0.4000000059604645,0.20244160294532776,0.009109873324632645,0.0958881601691246,-6.031839370727539,0.17947712540626526,0.00010089843271998689,0.0005000000237487257,0.000528218224644661
9633792,0.4000000059604645,0.183571457862854,0.008260715752840042,0.06731420010328293,-6.027606964111328,0.1273527890443802,0.00010152102186111733,0.0005000000237487257,0.0004800381720997393
